"ID","Sex","Horn","BirthYear","BirthMonth","BirthDay","BirthWt","MumID","Twin","MumAge","dominance"
2453,"M","N",1991,4,14,NA,1226,1,7,0.473377498692996
2454,"M","N",1991,4,14,NA,1226,1,7,0.692441562581333
2468,"M","N",1991,4,3,2.4000001,1835,0,4,0.57
2470,"F","N",1991,4,6,1.79999995,2245,0,1,0.39
2471,"F","P",1991,4,8,2.9000001,425,0,12,0.93
2473,"M","N",1991,4,8,2,1879,1,4,0.59
2474,"F","N",1991,4,8,1.89999998,1879,1,4,0.51
2476,"F","P",1991,4,8,2.70000005,2176,0,2,0.28
2477,"M","N",1991,4,11,2.4000001,1264,0,7,0.81
2478,"F","P",1991,4,13,2,2165,0,2,0.49
2479,"F","N",1991,4,10,2,904,0,9,0.75
2482,"F","P",1991,4,10,2.4000001,577,1,11,0.9
2483,"F","P",1991,4,10,2.0999999,577,1,11,0.93
2485,"F","N",1991,4,9,1.5,1288,1,7,0.73
2486,"M","N",1991,4,9,2.9000001,1288,1,7,0.68
2487,"F","P",1991,4,11,1.39999998,2128,0,2,0.61
2488,"F","S",1991,4,12,1.79999995,2273,0,1,0.34
2489,"F","P",1991,4,11,1.39999998,2146,1,2,0.39
2490,"M","N",1991,4,11,1.5,2146,1,2,0.47
2493,"F","S",1991,4,12,2.5999999,755,0,10,0.95
2494,"M","N",1991,4,12,2.5,2066,0,3,0.59
2496,"M","N",1991,4,13,1.5,2363,0,1,0.49
2497,"M","N",1991,4,14,3.0999999,1097,0,8,0.88
2498,"F","N",1991,4,13,1.60000002,1825,1,4,0.41
2499,"F","N",1991,4,13,1.39999998,1825,1,4,0.88
2500,"M","N",1991,4,15,1.5,2361,0,1,0.4
2502,"M","S",1991,4,15,2.29999995,1899,1,4,0.42
2503,"F","P",1991,4,15,2.20000005,1899,1,4,0.61
2504,"F","S",1991,4,14,2,2143,0,2,0.35
2506,"M","N",1991,4,14,2.4000001,1098,0,8,0.58
2507,"M","N",1991,4,16,2.5999999,1662,0,5,0.75
2508,"M","S",1991,4,16,1.29999995,2291,0,1,0.57
2509,"F","N",1991,4,15,2.20000005,1101,1,8,0.74
2510,"M","N",1991,4,15,2.0999999,1101,1,8,0.69
2511,"F","N",1991,4,17,1.89999998,1242,1,7,0.87
2512,"M","N",1991,4,17,2.29999995,1242,1,7,0.91
2513,"F","S",1991,4,17,1.60000002,2164,1,2,0.42
2514,"M","N",1991,4,17,1.89999998,2164,1,2,0.22
2515,"F","S",1991,4,17,1.89999998,1082,1,8,0.78
2516,"M","N",1991,4,17,1.89999998,1082,1,8,0.6
2517,"F","P",1991,4,16,1.29999995,2341,0,1,0.52
2518,"F","P",1991,4,14,3.29999995,2178,0,2,0.24
2519,"F","P",1991,4,16,2,2172,0,2,0.39
2520,"M","N",1991,4,17,1.29999995,2278,0,1,0.18
2521,"M","S",1991,4,16,3.20000005,1741,0,4,0.42
2522,"F","S",1991,4,17,2.79999995,1259,0,7,0.56
2523,"F","S",1991,4,17,2.20000005,1090,1,8,0.76
2524,"F","N",1991,4,17,2.20000005,1090,1,8,0.86
2525,"F","P",1991,4,17,2.70000005,1665,0,5,0.52
2526,"F","P",1991,4,17,2.4000001,1106,0,8,0.83
2528,"F","N",1991,4,14,2.5999999,906,1,9,0.94
2529,"F","N",1991,4,14,3,906,1,9,0.92
